KOTA,TANGGAL,SUHU MAX ,,,731,rand
Delhi,26/11/2024,25.06,,,,
Delhi,27/11/2024,25.09,,,,
Delhi,28/11/2024,25.04,,,,
Delhi,29/11/2024,24.04,,,,
Delhi,30/11/2024,24.08,,,,
Delhi,01/12/2024,24.08,,,,
Delhi,02/12/2024,25.07,,,,
Delhi,03/12/2024,26.04,,,,
Delhi,04/12/2024,25.06,,,,
Delhi,05/12/2024,23.06,,,,
Delhi,06/12/2024,23.06,,,,
Delhi,07/12/2024,23,,,,
Delhi,08/12/2024,22.05,,,,
Delhi,09/12/2024,20.03,,,,
Delhi,10/12/2024,20.02,,,,
Delhi,11/12/2024,20.03,,,,
Delhi,12/12/2024,20.06,,,,
Delhi,13/12/2024,20.05,,,,
Delhi,14/12/2024,20.07,,,,
Delhi,15/12/2024,20.07,,,,
Delhi,16/12/2024,20.09,,,,
Delhi,17/12/2024,20.04,,,,
Delhi,18/12/2024,21,,,,
Delhi,19/12/2024,21.01,,,,
Delhi,20/12/2024,23,,,,
Delhi,21/12/2024,22.01,,,,
Delhi,22/12/2024,22.06,,,,
Delhi,23/12/2024,18.02,,,,
Delhi,24/12/2024,18.07,,,,
Delhi,25/12/2024,20.06,,,,
Delhi,26/12/2024,22.05,,,,
Delhi,27/12/2024,16.08,,,,
Delhi,28/12/2024,18.02,,,,
Delhi,29/12/2024,18.04,,,,
Delhi,30/12/2024,18.03,,,,
Delhi,31/12/2024,16,,,,
